id,season,city,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin_type,result_margin,team1_score,team2_score,eliminator,umpire1,umpire2
20,2016,Chennai,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Delhi Capitals,normal,wickets,5,177,179,N,N Menon,P Reiffel
21,2016,Kolkata,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,normal,runs,34,181,215,N,A Deshmukh,N Menon
22,2016,Lucknow,"BRSABV Ekana Stadium, Lucknow",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,bat,Kolkata Knight Riders,normal,runs,5,181,176,N,R Pandit,N Menon
23,2016,Lucknow,"BRSABV Ekana Stadium, Lucknow",Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,normal,runs,17,197,180,N,V Kulkarni,S Ravi
24,2016,Kolkata,"Eden Gardens, Kolkata",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,normal,runs,73,210,137,N,K Ananthapadmanabhan,P Reiffel
25,2016,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,normal,runs,4,193,197,N,P Reiffel,J Madanagopal
26,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,normal,wickets,3,129,133,N,V Kulkarni,N Menon
27,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,normal,wickets,4,152,148,N,K Ananthapadmanabhan,P Reiffel
28,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,normal,wickets,4,158,155,N,C Shamshuddin,J Madanagopal
29,2016,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,normal,runs,30,193,163,N,S Ravi,C Shamshuddin
30,2016,Mumbai,"Wankhede Stadium, Mumbai",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,normal,wickets,5,113,110,N,R Pandit,C Shamshuddin
31,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,normal,runs,43,161,204,N,C Shamshuddin,J Madanagopal
32,2016,Mumbai,"Wankhede Stadium, Mumbai",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,normal,runs,71,221,150,N,C Shamshuddin,V Kulkarni
33,2016,Lucknow,"BRSABV Ekana Stadium, Lucknow",Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,normal,runs,20,189,209,N,A Deshmukh,S Ravi
34,2016,Chennai,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,normal,runs,17,195,178,N,S Ravi,J Madanagopal
35,2016,Kolkata,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bengaluru,normal,wickets,4,182,181,N,R Pandit,S Ravi
36,2016,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,wickets,5,167,168,N,P Reiffel,A Deshmukh
37,2016,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,Royal Challengers Bengaluru,normal,wickets,5,212,209,N,P Reiffel,R Pandit
38,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,normal,runs,13,192,179,N,R Pandit,S Ravi
39,2016,Kolkata,"Eden Gardens, Kolkata",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,normal,runs,24,174,198,N,K Ananthapadmanabhan,C Shamshuddin
40,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,normal,runs,153,56,209,N,P Reiffel,J Madanagopal
41,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Delhi Capitals,normal,runs,10,215,205,N,A Deshmukh,N Menon
42,2016,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Royal Challengers Bengaluru,normal,runs,98,216,118,N,S Ravi,C Shamshuddin
43,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,normal,wickets,7,188,189,N,M Erasmus,N Menon
44,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,normal,runs,5,194,199,N,N Menon,C Shamshuddin
45,2016,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,normal,wickets,4,203,202,N,K Ananthapadmanabhan,S Ravi
46,2016,Chennai,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Kolkata Knight Riders,normal,wickets,4,205,204,N,A Deshmukh,S Ravi
47,2016,Chennai,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,wickets,6,209,213,N,P Reiffel,S Ravi
48,2016,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,wickets,8,148,150,N,A Deshmukh,P Reiffel
49,2016,Kolkata,"Eden Gardens, Kolkata",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,normal,runs,10,185,195,N,K Ananthapadmanabhan,C Shamshuddin
50,2016,Mohali,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,wickets,3,164,162,N,A Deshmukh,V Kulkarni
51,2016,Lucknow,"BRSABV Ekana Stadium, Lucknow",Chennai Super Kings,Punjab Kings,Chennai Super Kings,field,Punjab Kings,normal,runs,49,131,180,N,C Shamshuddin,J Madanagopal
52,2016,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,normal,runs,48,213,165,N,V Kulkarni,A Deshmukh
53,2016,Delhi,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,normal,runs,39,218,179,N,N Menon,S Ravi
54,2016,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Chennai Super Kings,normal,runs,37,196,159,N,V Kulkarni,C Shamshuddin
55,2016,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,normal,wickets,8,106,104,N,S Ravi,P Reiffel
56,2016,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Punjab Kings,Punjab Kings,bat,Punjab Kings,normal,runs,30,179,209,N,A Deshmukh,R Pandit
57,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,normal,wickets,3,182,185,N,A Deshmukh,N Menon
58,2017,Chennai,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,normal,wickets,4,179,183,N,S Ravi,P Reiffel
59,2017,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,Mumbai Indians,normal,wickets,1,184,183,N,C Shamshuddin,V Kulkarni
60,2017,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,normal,runs,14,212,198,N,R Pandit,S Ravi
61,2017,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,normal,wickets,6,175,178,N,P Reiffel,J Madanagopal
62,2017,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,bat,Royal Challengers Bengaluru,normal,wickets,3,123,122,N,P Reiffel,M Erasmus
63,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,Punjab Kings,normal,wickets,5,202,201,N,V Kulkarni,J Madanagopal
64,2017,Mohali,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,normal,wickets,5,155,154,N,K Ananthapadmanabhan,J Madanagopal
65,2017,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Chennai Super Kings,normal,runs,23,187,164,N,A Deshmukh,J Madanagopal
66,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,normal,wickets,9,164,163,N,M Erasmus,V Kulkarni
67,2017,Lucknow,"BRSABV Ekana Stadium, Lucknow",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,normal,wickets,5,199,202,N,J Madanagopal,S Ravi
68,2017,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Delhi Capitals,normal,wickets,1,183,182,N,P Reiffel,C Shamshuddin
69,2017,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,normal,runs,35,200,235,N,J Madanagopal,P Reiffel
70,2017,Mohali,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,field,Punjab Kings,normal,wickets,5,199,197,N,N Menon,C Shamshuddin
71,2017,Jaipur,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,normal,runs,58,154,212,N,V Kulkarni,C Shamshuddin
72,2017,Mohali,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Punjab Kings,Delhi Capitals,field,Punjab Kings,normal,runs,61,143,204,N,S Ravi,N Menon
73,2017,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Punjab Kings,field,Punjab Kings,normal,wickets,4,168,169,N,P Reiffel,V Kulkarni
74,2017,Chennai,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,normal,wickets,5,181,178,N,V Kulkarni,A Deshmukh
75,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,Royal Challengers Bengaluru,normal,wickets,6,140,142,N,S Ravi,N Menon
76,2017,Chennai,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Delhi Capitals,normal,runs,22,151,173,N,V Kulkarni,C Shamshuddin
77,2017,Delhi,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,wickets,2,205,201,N,N Menon,A Deshmukh
78,2017,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Kolkata Knight Riders,normal,runs,13,168,181,N,K Ananthapadmanabhan,N Menon
79,2017,Mohali,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,normal,runs,23,191,214,N,S Ravi,C Shamshuddin
80,2017,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,wickets,5,170,169,N,K Ananthapadmanabhan,S Ravi
81,2017,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,tie,runs,0,193,193,Y,K Ananthapadmanabhan,C Shamshuddin
82,2017,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bengaluru,normal,wickets,6,210,208,N,N Menon,K Ananthapadmanabhan
83,2017,Lucknow,"BRSABV Ekana Stadium, Lucknow",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,normal,runs,4,184,188,N,N Menon,A Deshmukh
84,2017,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,wickets,8,160,161,N,P Reiffel,K Ananthapadmanabhan
85,2017,Chennai,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,normal,runs,70,212,142,N,K Ananthapadmanabhan,P Reiffel
86,2017,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Chennai Super Kings,normal,runs,44,151,195,N,C Shamshuddin,S Ravi
87,2017,Lucknow,"BRSABV Ekana Stadium, Lucknow",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,normal,wickets,6,182,186,N,J Madanagopal,A Deshmukh
88,2017,Mumbai,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,Chennai Super Kings,normal,runs,44,243,199,N,C Shamshuddin,P Reiffel
89,2017,Jaipur,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,normal,runs,78,86,164,N,J Madanagopal,P Reiffel
90,2017,Lucknow,"BRSABV Ekana Stadium, Lucknow",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,normal,wickets,2,182,176,N,N Menon,P Reiffel
91,2017,Lucknow,"BRSABV Ekana Stadium, Lucknow",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,normal,wickets,7,175,176,N,V Kulkarni,S Ravi
92,2017,Mumbai,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Punjab Kings,normal,runs,37,138,175,N,J Madanagopal,A Deshmukh
93,2017,Chennai,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,Kolkata Knight Riders,normal,runs,27,196,223,N,V Kulkarni,J Madanagopal
94,2017,Mumbai,"Wankhede Stadium, Mumbai",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,normal,wickets,5,145,149,N,K Ananthapadmanabhan,N Menon
95,2017,Jaipur,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,bat,Sunrisers Hyderabad,normal,wickets,2,199,203,N,C Shamshuddin,R Pandit
96,2017,Kolkata,"Eden Gardens, Kolkata",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,normal,runs,34,197,231,N,P Reiffel,A Deshmukh
97,2017,Chennai,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,normal,wickets,4,165,167,N,A Deshmukh,V Kulkarni
98,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Punjab Kings,normal,wickets,8,158,155,N,K Ananthapadmanabhan,C Shamshuddin
99,2017,Mohali,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,normal,wickets,6,191,192,N,K Ananthapadmanabhan,P Reiffel
100,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Delhi Capitals,Punjab Kings,Punjab Kings,field,Delhi Capitals,normal,runs,23,195,172,N,K Ananthapadmanabhan,V Kulkarni
101,2017,Mumbai,"Wankhede Stadium, Mumbai",Mumbai Indians,Punjab Kings,Punjab Kings,bat,Mumbai Indians,normal,wickets,4,171,166,N,C Shamshuddin,K Ananthapadmanabhan
102,2017,Lucknow,"BRSABV Ekana Stadium, Lucknow",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Sunrisers Hyderabad,normal,wickets,3,187,193,N,K Ananthapadmanabhan,A Deshmukh
103,2017,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,normal,runs,56,122,178,N,N Menon,V Kulkarni
104,2017,Kolkata,"Eden Gardens, Kolkata",Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Delhi Capitals,normal,runs,39,162,201,N,S Ravi,J Madanagopal
105,2017,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,field,Kolkata Knight Riders,normal,wickets,2,169,166,N,M Erasmus,C Shamshuddin
106,2017,Delhi,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,normal,runs,40,210,170,N,N Menon,V Kulkarni
107,2017,Mohali,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,bat,Kolkata Knight Riders,normal,wickets,2,189,185,N,N Menon,S Ravi
108,2017,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,field,Sunrisers Hyderabad,normal,runs,20,162,182,N,M Erasmus,C Shamshuddin
109,2017,Delhi,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Punjab Kings,Punjab Kings,bat,Punjab Kings,normal,runs,37,183,220,N,P Reiffel,V Kulkarni
110,2017,Jaipur,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,bat,Royal Challengers Bengaluru,normal,wickets,3,186,184,N,N Menon,M Erasmus
111,2017,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Rajasthan Royals,normal,wickets,4,182,185,N,M Erasmus,S Ravi
112,2017,Ahmedabad,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,Mumbai Indians,normal,wickets,2,197,194,N,S Ravi,J Madanagopal
113,2018,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,normal,runs,59,144,203,N,A Deshmukh,J Madanagopal
114,2018,Delhi,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Kolkata Knight Riders,normal,wickets,2,206,204,N,J Madanagopal,P Reiffel
115,2018,Chennai,"M. A. Chidambaram Stadium, Chennai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,bat,Chennai Super Kings,normal,wickets,4,206,203,N,K Ananthapadmanabhan,S Ravi
116,2018,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,normal,runs,101,125,226,N,C Shamshuddin,S Ravi
117,2018,Jaipur,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,normal,runs,30,225,195,N,J Madanagopal,S Ravi
118,2018,Chennai,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Punjab Kings,Delhi Capitals,bat,Punjab Kings,normal,wickets,8,163,166,N,M Erasmus,P Reiffel
119,2018,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,normal,wickets,8,136,139,N,V Kulkarni,N Menon
120,2018,Lucknow,"BRSABV Ekana Stadium, Lucknow",Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,normal,runs,45,212,167,N,J Madanagopal,P Reiffel
121,2018,Mohali,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Kolkata Knight Riders,normal,runs,61,157,218,N,V Kulkarni,C Shamshuddin
122,2018,Mohali,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,normal,runs,2,204,206,N,A Deshmukh,N Menon
123,2018,Chennai,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,normal,runs,7,233,226,N,S Ravi,R Pandit
124,2018,Mumbai,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,normal,runs,49,230,181,N,R Pandit,N Menon
125,2018,Kolkata,"Eden Gardens, Kolkata",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Chennai Super Kings,normal,wickets,2,198,197,N,V Kulkarni,P Reiffel
126,2018,Bengaluru,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,normal,runs,7,198,191,N,M Erasmus,K Ananthapadmanabhan
127,2018,Hyderabad,"Rajiv Gandhi Intl. Stadium, Hyderabad",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,normal,runs,71,203,132,N,V Kulkarni,P Reiffel
128,2018,Chennai,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,normal,wickets,5,202,200,N,N Menon,K Ananthapadmanabhan
129,2018,Jaipur,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Rajasthan Royals,normal,wickets,4,164,163,N,V Kulkarni,K Ananthapadmanabhan
